Team Name,Match-1,Match-2,Match-3,Match-4,Match-5,Match-6,Match-7,Match-8,Match-9,Match-10,Match-11
India,201,273,192,261,274,229,357,326,410,397,240
South Africa,428,311,207,399,382,271,357,83,247,212,
Australia,199,177,215,367,399,388,286,293,307,215,241
New Zealand,283,322,248,149,273,383,167,401,172,327,
Pakistan,205,345,191,305,282,270,205,200,244,,
Afghanistan,156,272,284,288,286,242,181,291,244,,
England,282,364,215,170,156,129,253,339,337,,
Bangladesh,158,227,245,256,233,142,204,282,306,,
Sri Lanka,326,344,209,263,160,241,55,279,171,,
Netherlands,205,223,245,262,90,229,179,179,250,,
