Stadium,City,State,Latitude,Longitude,Average Score Batting First,Average Score Chasing,Wins by Team Batting First,Wins by Teams Chasing
Narendra Modi Stadium,Ahmedabad,Gujarat,23.0225,72.5714,249,243,1,4
Rajiv Gandhi International Stadium,Hyderabad,Telangana,17.385,78.4867,317,258,2,1
Himachal Pradesh Cricket Association Stadium,Dharamshala,Himachal Pradesh,32.219,76.3234,286,250,3,2
Arun Jaitley Stadium,Delhi,Delhi,28.7041,77.1025,332,237,3,2
MA Chidambaram Stadium,Chennai,Tamil Nadu,13.0827,80.2707,257,229,1,4
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,26.8467,80.9462,238,193,2,3
Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5204,73.8567,300,232,2,3
M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9716,77.5946,301,258,2,3
Wankhede Stadium,Mumbai,Maharashtra,19.076,72.8777,366,216,4,1
Eden Gardens,Kolkata,West Bengal,22.5726,88.3639,262,179,3,2
